user_id,activity_label,is_high_active,source_sheet,persona_label,persona_reason,total_count,total_stay_time,avg_stay_per_count,page_concentration_top3,circle_ratio,device_ratio,my_ratio,service_ratio,bind_ratio,top_pages,top_clicks
86062,高活跃,1,高活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,217.0,736.6,3.39,0.73,0.13,0.11,0.0,0.16,0.09,首页:33 | 圈子推荐-首页:8 | 登录页:4,我要召请按钮0331:4 | 首页-消息中心按钮:3 | 底部设备按钮:2
85326,高活跃,1,高活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,146.0,451.6,3.09,0.62,0.09,0.36,0.0,0.45,0.27,首页:13 | 设备列表页:9 | 服务工单页:7,我要召请-选择设备按钮:5 | 底部设备按钮:4 | 我要召请-提交按钮:3
86994,高活跃,1,高活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,57.0,111.8,1.96,0.89,0.17,0.0,0.06,0.17,0.5,首页:10 | 全球服务网络页面:3 | 圈子推荐-首页:3,我要配件按钮0331:1 | 新增弹窗-扫码绑定按钮首页:1 | 网点中心按钮0331:1
85803,高活跃,1,高活用户明细,社区浏览型,圈子相关页面占比明显，偏内容/社区浏览。,175.0,464.4,2.65,0.74,0.13,0.44,0.0,0.06,0.16,设备列表页:22 | 首页:21 | 圈子推荐-首页:9,底部设备按钮:15 | 我要召请按钮0331:2 | 新增弹窗-极速绑定按钮首页:2
86454,高活跃,1,高活用户明细,社区浏览型,圈子相关页面占比明显，偏内容/社区浏览。,124.0,310.3,2.5,0.78,0.14,0.22,0.0,0.11,0.13,首页:22 | 圈子推荐-首页:5 | 设备列表页:2,底部设备按钮:4 | 设备≤10台时-设备开机动态-设备详情页:3 | 开工曲线按钮:1
86268,高活跃,1,高活用户明细,设备管理型,设备列表、设备详情和绑定动作集中，偏设备运营任务。,58.0,155.3,2.68,0.91,0.0,0.59,0.0,0.09,0.36,设备列表页:10 | 首页:9 | 我要召请-更换设备按钮:1,全部设备列表切换按钮:2 | 底部设备按钮:2 | 极速绑定设备按钮:2
86667,高活跃,1,高活用户明细,设备管理型,设备列表、设备详情和绑定动作集中，偏设备运营任务。,56.0,253.8,4.53,0.94,0.12,0.65,0.06,0.0,0.56,设备列表页:11 | 首页:3 | 圈子推荐-首页:2,底部设备按钮:3 | 绑定设备按钮:3 | 极速绑定设备按钮:2
86768,高活跃,1,高活用户明细,设备管理型,设备列表、设备详情和绑定动作集中，偏设备运营任务。,23.0,65.0,2.83,1.0,0.0,0.5,0.0,0.0,0.17,设备列表页:5 | 首页:5,底部设备按钮:5 | 虚拟挖机弹窗引导-绑定真实设备:1
85574,高活跃,1,高活用户明细,轻度尝鲜型,行为量较轻或入口分散，更像在试用产品和浅层浏览。,41.0,114.7,2.8,1.0,0.0,0.14,0.43,0.0,0.4,首页:6 | 我的:6 | 设备列表页:2,底部设备按钮:2 | 新增弹窗-极速绑定按钮首页:1 | 新增弹窗-绑定设备按钮首页:1
86908,高活跃,1,高活用户明细,轻度尝鲜型,行为量较轻或入口分散，更像在试用产品和浅层浏览。,18.0,45.2,2.51,1.0,0.0,0.0,0.0,0.0,0.5,首页:6 | 二手机宣传落地页-详情页:2,新增弹窗-极速绑定按钮首页:1 | 新宣传落地:1 | 虚拟挖机弹窗引导-绑定真实设备:1
