user_id,persona,bind_tag,circle_tag,service_tag,risk_tag,high_active_label,blocked_flag,aha_types,primary_aha_type,aha_moment_count,aha_detail,behavior_signal_tag,high_active_behavior_hit_cnt,low_active_behavior_hit_cnt,high_active_behavior_score,low_active_behavior_score,behavior_net_signal_score,high_active_signal_behaviors,low_active_signal_behaviors
85326,低活|已绑定|服务提交用户|低社区参与|高受阻风险,已绑定,低社区参与,服务提交用户,高受阻风险,0,1,服务流程启动|设备绑定成功|快速入口使用,服务流程启动,3,"summon_select_device_cnt=1.0, summon_submit_cnt=1.0",低活倾向行为,5,10,26.27,91.23,-64.96,圈子推荐-首页:3.0|我要召请-提交按钮:1.0|新增弹窗-绑定设备按钮首页:2.0|服务工单页:3.0|绑定设备按钮:2.0,全部设备列表切换按钮:1.0|工况页_点击地址按钮:1.0|底部设备按钮:4.0|我的:2.0|我要召请-选择设备按钮:1.0|服务召请页:4.0|设备列表页:12.0|设备详情页:2.0|首页-顶部+按钮:2.0|首页:66.0
85574,低活|已绑定|服务提交用户|无社区参与|高受阻风险,已绑定,无社区参与,服务提交用户,高受阻风险,0,1,服务流程启动,服务流程启动,1,"summon_select_device_cnt=1.0, summon_submit_cnt=1.0",低活倾向行为,1,8,0.75,72.51,-71.76,我要召请-提交按钮:1.0,全部设备列表切换按钮:5.0|我要召请-选择设备按钮:1.0|数据分析按钮:1.0|数据报表按钮:2.0|数据报表详情页-周报按钮:1.0|设备列表页:5.0|设备详情页:3.0|首页:1.0
85803,低活|已绑定|服务提交用户|无社区参与|高受阻风险,已绑定,无社区参与,服务提交用户,高受阻风险,0,1,服务流程启动|设备绑定成功|快速入口使用,服务流程启动,3,"summon_select_device_cnt=2.0, summon_submit_cnt=1.0",低活倾向行为,11,10,43.52,92.28,-48.76,一号多账号弹窗:2.0|圈子推荐-首页:4.0|弹窗-使用当前账号按钮:2.0|我要召请-提交按钮:1.0|服务工单页:4.0|登录页-账号登录按钮:1.0|登录页:5.0|绑定设备按钮:1.0|设备开机动态-设备详情页:1.0|设备开机动态页:1.0|首页-消息中心按钮:1.0,全部设备列表切换按钮:1.0|底部设备按钮:3.0|开工曲线按钮:1.0|我要召请-选择设备按钮:2.0|服务召请按钮:1.0|服务召请页:5.0|设备≤10台时-设备开机动态-设备详情页:3.0|设备列表页:9.0|设备详情页:4.0|首页:58.0
86062,低活|已绑定|服务提交用户|低社区参与|高受阻风险,已绑定,低社区参与,服务提交用户,高受阻风险,0,1,服务流程启动|设备绑定成功|内容获取感|快速入口使用,服务流程启动,4,"summon_select_device_cnt=20.0, summon_submit_cnt=29.0",低活倾向行为,8,9,18.27,69.19,-50.92,二手机宣传落地页-详情页:1.0|圈子推荐-首页:4.0|我要召请-提交按钮:29.0|扫一扫页面:1.0|新增弹窗-扫码绑定按钮首页:1.0|新宣传落地:1.0|绑定设备按钮:2.0|邀请有礼:1.0,全球服务网络页面:1.0|全部设备列表切换按钮:2.0|底部设备按钮:3.0|我的:3.0|我要召请-选择设备按钮:20.0|我要配件按钮0331:1.0|网点中心按钮0331:1.0|设备列表页:10.0|首页:34.0
86268,低活|已绑定|无明显服务意向|无社区参与|高受阻风险,已绑定,无社区参与,无明显服务意向,高受阻风险,0,1,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
86454,低活|已绑定|无明显服务意向|无社区参与|高受阻风险,已绑定,无社区参与,无明显服务意向,高受阻风险,0,1,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
86667,低活|已绑定|无明显服务意向|无社区参与|高受阻风险,已绑定,无社区参与,无明显服务意向,高受阻风险,0,1,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
86768,低活|已绑定|无明显服务意向|无社区参与|正常,已绑定,无社区参与,无明显服务意向,正常,0,0,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
86908,低活|已绑定|无明显服务意向|无社区参与|正常,已绑定,无社区参与,无明显服务意向,正常,0,0,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
86994,低活|已绑定|无明显服务意向|无社区参与|高受阻风险,已绑定,无社区参与,无明显服务意向,高受阻风险,0,1,未识别,未识别,0,,中性行为,0,0,0.0,0.0,0.0,,
